	\
\
         5	NumItems0
        16	NumItems1
Dates	TableName
N	FixedFormat
N	DeleteFlag
Y	FieldNames
N	FieldDefaults
List of Dates for testing the Routines in Chapter 1 of the Numerical Recipes.	Comment
Year	Month	Day	JulianDay	Event
-1	11	30	1721392	A Month before the End of millennium
-1	12	31	1721423	End of millennium
1	01	01	1721424	First day of millennium
1582	10	14	2299170	Day before Gregorian calendar
1582	10	16	2299162	Day after Gregorian calendar
1582	11	15	2299192	Month after Gregorian calendar
1706	01	17	2344180	Benjamin Franklin born
1858	11	16	2400000	Julian Day 2400000, with 0:00:00 used as FixedDate for mod. Julian Calendar
1865	04	14	2402341	Abraham Lincoln shot
1906	04	18	2417319	San Francisco earthquake
1915	05	07	2420625	Sinking of the Lusitania
1923	07	20	2423621	Pancho Villa assassinated
1934	05	23	2427581	Bonnie and Clyde eliminated
1934	07	22	2427641	John Dillinger shot
1936	04	03	2428262	Bruno Hauptman electrocuted
1937	05	06	2428660	Hindenburg disaster
1956	07	26	2435681	Sinking of the Andrea Doria
1976	06	05	2442935	Teton dam collapse
1968	05	23	2440000	Julian Day 2440000, used as FixedDate for NASA's Modified Julian Date 
1970	01	01	2444240	Julian Day 2444240, used as FixedDate for the MilliSecond Timing in Java and C# 
